"ID"	"Site"	"A0"	"rate.sec"	"intercept"	"plant.sp"	"caterpillar.sp"	"phytchemdiv"	"host.parasitism"	"dietbreadth"	"max.abs"	"rate.min"	"cov"
"1"	89244	"Ecuador"	0.138	0.000428745	0.333233766	"Piper baezanum"	"Eight black blur"	0.957158038	0	1	0.598	0.0257247	1
"2"	89245	"Ecuador"	0.138	0.000754113	0.361861472	"Piper baezanum"	"Six black two pink spots"	0.957158038	0	2	0.795	0.04524678	2
"3"	89247	"Ecuador"	0.138	0.000448485	0.313406926	"Piper kelleii"	"Six black two pink spots"	0.952466137	0.139	2	0.544	0.0269091	16
"4"	89249	"Ecuador"	0.138	0.000457446	0.208147186	"Piper kelleii"	"2 black spots"	0.952466137	0.033	1	0.805	0.02744676	27
"5"	89278	"Ecuador"	0.138	0.00016368	0.200229437	"Piper kelleii"	"2 black spots"	0.952466137	0.033	1	0.446	0.0098208	27
"6"	89279	"Ecuador"	0.138	0.000240043	0.311034632	"Piper kelleii"	"2 black spots"	0.952466137	0.033	1	0.588	0.01440258	27
"7"	89281	"Ecuador"	0.138	0.000734632	0.415753247	"Piper kelleii"	"Six black two pink spots"	0.952466137	0.139	2	0.673	0.04407792	16
"8"	89282	"Ecuador"	0.138	0.000660087	0.588116883	"Piper kelleii"	"2 black spots"	0.952466137	0.033	1	0.49	0.03960522	27
"9"	89283	"Ecuador"	0.138	0.000174762	0.188333333	"Piper kelleii"	"2 black spots"	0.952466137	0.033	1	0.302	0.01048572	27
"10"	89404	"Ecuador"	0.138	0.000591515	0.404164502	"Piper kelleii"	"2 black spots"	0.952466137	0.033	1	0.357	0.0354909	27
"11"	89405	"Ecuador"	0.138	0.000462814	0.776108225	"Piper kelleii"	"2 black spots"	0.952466137	0.033	1	0.381	0.02776884	27
"12"	89422	"Ecuador"	0.138	0.00010026	0.604588745	"Piper kelleii"	"2 black spots"	0.952466137	0.033	1	0.394	0.0060156	27
"13"	89424	"Ecuador"	0.138	0.000279177	0.207627706	"Piper kelleii"	"Lime slime"	0.952466137	0	3	0.148	0.01675062	7
"14"	89432	"Ecuador"	0.138	4.72e-06	0.139060606	"Piper kelleii"	"Six black two pink spots"	0.952466137	0.139	2	0.344	0.0002832	16
"15"	89240	"Ecuador"	0.138	7.92e-06	0.146051948	"Piper baezanum"	"Six black two pink spots"	0.957158038	0	2	0.891	0.0004752	2
"16"	89449	"Ecuador"	0.138	0.000350779	0.291528139	"Piper kelleii"	"2 black spots"	0.952466137	0.033	1	0.304	0.02104674	27
"17"	89414	"Ecuador"	0.138	0.000138095	0.16052381	"Piper kelleii"	"2 black spots"	0.952466137	0.033	1	0.443	0.0082857	27
"18"	89447	"Ecuador"	0.138	0.000136277	0.190688312	"Piper baezanum"	"Lime slime"	0.957158038	0	3	0.174	0.00817662	1
"19"	89254	"Ecuador"	0.138	5.76e-05	0.622822511	"Piper kelleii"	"Six black two pink spots"	0.952466137	0.139	2	0.568	0.003456	16
"20"	89297	"Ecuador"	0.138	0.00024645	0.215874459	"Piper kelleii"	"Six black two pink spots"	0.952466137	0.139	2	0.984	0.014787	16
"21"	89271	"Ecuador"	0.138	0.000605108	0.273800866	"Piper kelleii"	"2 black spots"	0.952466137	0.033	1	0.706	0.03630648	27
"22"	89264	"Ecuador"	0.138	0.000679004	0.345727273	"Piper kelleii"	"Six black two pink spots"	0.952466137	0.139	2	0.403	0.04074024	16
"23"	89256	"Ecuador"	0.138	0.000206277	0.202688312	"Piper kelleii"	"2 black spots"	0.952466137	0.033	1	0.341	0.01237662	27
"24"	89387	"Ecuador"	0.138	0.00020684	0.21504329	"Piper lancifolium"	"Six black two pink spots"	0.922677331	0	2	0.25	0.0124104	1
"25"	89357	"Ecuador"	0.138	6.93e-07	0.159506494	"Piper lancifolium"	"Eois viridiflava dognin"	0.922677331	0	2	0.577	4.16e-05	20
"26"	89265	"Ecuador"	0.138	0.000473333	0.258666667	"Piper kelleii"	"Six black two pink spots"	0.952466137	0.139	2	0.514	0.02839998	16
"27"	89331	"Ecuador"	0.138	1.43e-06	0.138714286	"Piper lancifolium"	"Pink spots funk"	0.922677331	0	2	0.5	8.58e-05	1
"28"	89344	"Ecuador"	0.138	0.000482208	0.398718615	"Piper lancifolium"	"2 black spots"	0.922677331	0	1	0.534	0.02893248	1
"29"	89410	"Ecuador"	0.138	0.000257662	0.311606061	"Piper kelleii"	"Eois ignefumata Dognin"	0.952466137	0.188	1	0.742	0.01545972	1
"30"	89408	"Ecuador"	0.138	4.25e-05	0.154926407	"Piper kelleii"	"Eois beebei Fletcher"	0.952466137	0.136	2	0.612	0.00255	1
"31"	89369	"Ecuador"	0.138	4.87e-05	0.167852814	"Piper lancifolium"	"Eois viridiflava dognin"	0.922677331	0	2	0.572	0.002922	20
"32"	89297	"Ecuador"	0.138	0.000386407	0.29369697	"Piper kelleii"	"Six black two pink spots"	0.952466137	0.139	2	0.192	0.02318442	16
"33"	89348	"Ecuador"	0.138	0.000263117	0.199445887	"Piper lancifolium"	"Eois viridiflava dognin"	0.922677331	0	2	0.716	0.01578702	20
"34"	89260	"Ecuador"	0.138	0.000345195	0.242298701	"Piper kelleii"	"Six black two pink spots"	0.952466137	0.139	2	0.796	0.0207117	16
"35"	89262	"Ecuador"	0.138	0.000749004	0.287679654	"Piper kelleii"	"Lime slime"	0.952466137	0	3	1.29	0.04494024	7
"36"	89385	"Ecuador"	0.138	0.000152251	0.203467532	"Piper lancifolium"	"Eois viridiflava dognin"	0.922677331	0	2	1.048	0.00913506	20
"37"	89349	"Ecuador"	0.138	1.21e-05	0.125792208	"Piper lancifolium"	"Eois viridiflava dognin"	0.922677331	0	2	0.892	0.000726	20
"38"	89312	"Ecuador"	0.138	0.000342727	0.246848485	"Piper kelleii"	"2 black spots"	0.952466137	0.033	1	0.649	0.02056362	27
"39"	89263	"Ecuador"	0.138	0.000550087	0.321640693	"Piper kelleii"	"Lime slime"	0.952466137	0	3	0.696	0.03300522	7
"40"	89255	"Ecuador"	0.138	0.000646407	0.316030303	"Piper kelleii"	"2 black spots"	0.952466137	0.033	1	0.764	0.03878442	27
