"ID"	"Site"	"A0"	"rate.sec"	"intercept"	"plant.sp"	"caterpillar.sp"	"phytchemdiv"	"host.parasitism"	"dietbreadth"	"max.abs"	"rate.min"	"cov"
"1"	34556	"Costa Rica"	0.127	0.001225801	0.555735931	"Piper imperiale"	"Eois apyraria"	0.84661	0.0137	7	1.298	0.07354806	7
"2"	34560	"Costa Rica"	0.127	0.00011303	0.602709957	"Piper cenocladum"	"Eois nympha"	0.92414	0.18	4	0.675	0.0067818	28
"3"	34561	"Costa Rica"	0.127	2.78e-05	0.133649351	"Piper cenocladum"	"Eois nympha"	0.92414	0.18	4	0.155	0.001668	28
"4"	34577	"Costa Rica"	0.127	1.4e-05	0.116744589	"Piper imperiale"	"Eois apyraria"	0.84661	0.0137	7	0.13	0.00084	7
"5"	34579	"Costa Rica"	0.127	6.19e-06	0.168190476	"Piper cenocladum"	"Eois nympha"	0.92414	0.18	4	0.173	0.0003714	28
"6"	34580	"Costa Rica"	0.127	6.86e-05	0.153844156	"Piper cenocladum"	"Eois nympha"	0.92414	0.18	4	0.214	0.004116	28
"7"	34581	"Costa Rica"	0.127	1.03e-05	0.13682684	"Piper cenocladum"	"Eois nympha"	0.92414	0.18	4	0.151	0.000618	28
"8"	34582	"Costa Rica"	0.127	6.71e-06	0.14365368	"Piper cenocladum"	"Eois nympha"	0.92414	0.18	4	0.153	0.0004026	28
"9"	34583	"Costa Rica"	0.127	0.00039	0.342904762	"Piper cenocladum"	"Eois nympha"	0.92414	0.18	4	0.645	0.0234	28
"10"	34584	"Costa Rica"	0.127	0.000112727	0.172372294	"Piper cenocladum"	"Eois nympha"	0.92414	0.18	4	0.297	0.00676362	28
"11"	34589	"Costa Rica"	0.127	1.49e-05	0.132341991	"Piper cenocladum"	"Eois nympha"	0.92414	0.18	4	0.146	0.000894	28
"12"	34590	"Costa Rica"	0.127	6.54e-06	0.125229437	"Piper cenocladum"	"Eois nympha"	0.92414	0.18	4	0.132	0.0003924	28
"13"	34616	"Costa Rica"	0.127	3.08e-05	0.138896104	"Piper cenocladum"	"Eois nympha"	0.92414	0.18	4	0.169	0.001848	28
"14"	34620	"Costa Rica"	0.127	0.000148961	0.182930736	"Piper cenocladum"	"Eois nympha"	0.92414	0.18	4	0.367	0.00893766	28
"15"	34622	"Costa Rica"	0.127	5.45e-05	0.132506494	"Piper cenocladum"	"Eois nympha"	0.92414	0.18	4	0.183	0.00327	28
"16"	34624	"Costa Rica"	0.127	1.89e-05	0.108670996	"Piper biseriatum"	"Eois nympha"	0.94445	0.286	4	0.126	0.001134	9
"17"	34641	"Costa Rica"	0.127	0.000661126	0.400090909	"Piper biseriatum"	"Eois nympha"	0.94445	0.286	4	0.751	0.03966756	9
"18"	34642	"Costa Rica"	0.127	0.001013506	0.5135671	"Piper biseriatum"	"Eois nympha"	0.94445	0.286	4	1.196	0.06081036	9
"19"	34645	"Costa Rica"	0.127	0.000535195	0.462155844	"Piper biseriatum"	"Eois nympha"	0.94445	0.286	4	0.833	0.0321117	9
"20"	34647	"Costa Rica"	0.127	0.000790606	0.299341991	"Piper biseriatum"	"Eois nympha"	0.94445	0.286	4	0.922	0.04743636	9
"21"	34649	"Costa Rica"	0.127	0.000971212	0.510112554	"Piper biseriatum"	"Eois nympha"	0.94445	0.286	4	1.123	0.05827272	9
"22"	34653	"Costa Rica"	0.127	7.27e-06	0.177437229	"Piper biseriatum"	"Eois nympha"	0.94445	0.286	4	0.198	0.0004362	9
"23"	34679	"Costa Rica"	0.127	0.000272251	0.228562771	"Piper biseriatum"	"Eois nympha"	0.94445	0.286	4	0.488	0.01633506	9
"24"	34692	"Costa Rica"	0.127	0.00015039	0.206311688	"Piper cenocladum"	"Eois nympha"	0.92414	0.18	4	0.329	0.0090234	28
